Country,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Confirmed,"32,480","24,897","46,895","41,602","41,218","27,385","17,800","11,440","6,750","5,421","3,940","3,279","10,154"
,Microscopy examined,"1,695,980","1,354,215","1,130,757","1,830,090","1,756,528","1,358,953","1,302,834","1,117,648","908,540","856,893","716,060","546,749","558,021"
,Microscopy positive,"22,969","14,478","32,569","33,302","37,921","17,980","11,301","7,154","5,171","4,170","2,792","2,227","6,994"
,RDT examined,"81,997","96,670","141,567","97,495","76,533","178,477","316,340","151,328","67,942","80,160","83,952","104,636","116,121"
,RDT positive,"9,511","10,419","14,326","8,300","3,297","9,405","6,499","4,286","1,579","1,251","1,148","1,052","3,160"
,Imported cases,,,,,,"9,890","5,724","4,020","1,618","1,342",798,800,"3,726"
,Relapse cases,,,,,,0,0,,,,0,1,57
"Timor-Leste2,3",Suspected cases,,"143,690","118,120","122,008","86,597","90,818","114,383","115,008","144,061","217,129",103’614**,122’955**,"166,167"
,Presumed and confirmed,"119,074","36,153","6,148","1,042",347,80,95,30,8,9,14‡,0,2
,Confirmed,"48,139","19,735","5,208","1,025",342,80,94,30,8,9,14‡,0,2
,Microscopy examined,,,,,,,,,,,"35,256","27,731","31,767"
,Microscopy positive,,,,,,,,,,,14,0,2
,RDT examined,"48,042","127,272","117,180","121,991","86,592","90,818","114,382","115,008","144,061","217,129","103,614","122,955","134,400"
,RDT positive,"48,139","19,735","5,208","1,025",342,80,94,30,8,9,3,0,0
,Imported cases,,,,,,,10,13,7,9,7,0,2
,Relapse cases,,,,,,,1,1,0,0,0,0,0
"Cambodia2,5",Suspected cases,"411,104","356,606","300,344","207,483","356,027","332,613","298,108","376,702","282,295","596,009","790,800","832,846","974,311"
,Presumed and confirmed,"181,857","106,905","74,628","46,890","70,304","68,109","43,380","76,804","62,582","32,197","9,964","4,382","4,053"
,Confirmed,"96,464","106,905","69,551","44,069","69,178","68,109","43,380","76,804","62,582","32,197","9,964","4,382","4,053"
,Microscopy examined,"90,175","86,526","80,212","54,716","48,591","49,357","42,802","38,188","42,834","38,964","20,956","4,705","7,129"
,Microscopy positive,"14,277","13,792","10,124","4,598","5,288","7,423","3,695","5,908","8,318","2,635",693,235,399
,RDT examined,"235,536","270,080","215,055","149,946","306,310","283,256","255,306","338,514","239,461","557,045","769,844","828,141","967,182"
,RDT positive,"82,187","93,113","59,427","39,471","63,890","60,686","39,685","70,896","54,264","29,562","9,271","4,147","3,654"
,Imported cases,,,,,,,,,,1,2,0,6
,Relapse cases,,,,,,,,,,0,0,"1,978","1,609"
"China1,2,3",Suspected cases,"7,118,649","9,190,401","6,918,770","5,555,001","4,403,633","4,052,616","3,194,915","2,409,286","1,904,290","1,680,801","1,274,340",,
,Presumed and confirmed,"9,973","4,498","2,716","4,246","3,080","3,279","3,151","2,672","2,511","2,487","1,051",,820
,Confirmed,"7,108","3,367","2,603","4,205","3,080","3,251","3,151","2,666","2,511","2,482","1,051",,820
,Microscopy examined,"7,115,784","9,189,270","6,918,657","5,554,960","4,403,633","4,052,588","3,194,915","2,409,280","1,904,290","1,680,796","1,274,340",,
,Microscopy positive,"7,108","3,367","2,603","4,205","3,080","3,251","3,151","2,666","2,511","2,482","1,051",,820
,Imported cases,"2,118","2,059","2,399","4,051","3,026","3,212","3,149","2,663","2,511","2,486","1,050",,819
Lao People's Democratic Republic2,Suspected cases,"340,119","244,956","336,783","359,143","313,859","284,361","240,505","234,365","287,984","567,650","576,026","643,583","844,865"
,Presumed and confirmed,"22,879","17,532","46,153","39,589","50,674","36,078","15,509","8,435","9,038","6,692","3,498","3,926","2,340"
,Confirmed,"22,879","17,532","46,153","39,589","50,674","36,078","15,509","8,435","9,038","6,692","3,498","3,926","2,340"
,Microscopy examined,"212,202","167,125","192,594","225,795","153,198","133,363","113,198","116,343","89,811","128,387","87,957","63,095","67,534"
,Microscopy positive,"6,619","6,223","13,206","11,487","10,629","6,198","2,367","1,575","1,093",898,297,185,64
,RDT examined,"127,917","77,831","144,189","133,348","160,661","150,998","127,307","118,022","198,173","439,263","488,069","580,488","777,331"
,RDT positive,"16,260","11,309","32,947","28,102","40,045","29,880","13,142","6,860","7,945","5,794","3,201","3,741","2,276"
,Imported cases,,,,,,,,,0,0,4,28,59
,Relapse cases,,,,,,,,,2,0,0,0,5
"Malaysia2,36",Suspected cases,"1,619,074","1,600,439","1,566,872","1,576,012","1,443,958","1,066,470","1,153,108","1,046,163","1,070,356","1,072,252","901,799","519,557","866,447"
,Presumed and confirmed,"6,650","5,306","4,725","3,850","3,923","2,311","2,302","4,114","4,630","3,941","2,839","3,688","2,807"
,Confirmed,"6,650","5,306","4,725","3,850","3,923","2,311","2,302","4,114","4,630","3,941","2,839","3,688","2,807"
,Microscopy examined,"1,619,074","1,600,439","1,566,872","1,576,012","1,443,958","1,066,470","1,153,108","1,046,163","1,070,356","1,072,252","901,799","519,557","866,447"
,Microscopy positive,"6,650","5,306","4,725","3,850","3,923","2,311","2,302","4,114","4,630","3,941","2,839","3,688","2,807"
,Imported cases,831,"1,142",924,865,766,435,428,423,485,630,177,111,291
,Relapse cases,,,,32,0,,0,0,0,0,0,0,0
Papua New Guinea,Suspected cases,"1,505,393","1,279,140","1,113,528","1,520,167","1,015,615","996,660","1,246,456","1,432,082","1,513,776","1,279,574","1,589,675","1,473,179","1,766,390"
,Presumed and confirmed,"1,379,787","1,151,343","878,371","1,176,874","707,716","620,785","785,120","892,235","940,693","646,648","932,973","755,598","1,022,780"
,Confirmed,"93,956","84,060","150,195","316,125","314,036","346,431","534,819","488,878","516,249","646,648","750,254","651,963","899,510"
,Microscopy examined,"198,742","184,466","156,495","139,972","83,257","112,864","146,242","139,910","121,766","72,636","50,564","48,691","51,533"
,Microscopy positive,"75,985","70,603","67,202","70,658","68,118","64,719","80,472","70,449","59,652","39,684","26,925","20,632","21,355"
,RDT examined,"20,820","27,391","228,857","519,446","538,678","609,442","849,913","888,815","967,566","1,206,938","1,356,392","1,320,853","1,591,587"
,RDT positive,"17,971","13,457","82,993","245,467","245,918","281,712","454,347","418,429","456,597","606,964","723,329","631,331","878,155"
"Philippines2,6",Suspected cases,"314,788","329,665","360,126","353,823","339,319","315,010","321,848","398,759","443,997","343,174","235,560","222,002","290,324"
,Presumed and confirmed,"19,648","9,648","9,107","8,926","6,099","11,445","6,690","6,806","4,641","5,778","6,120","4,297","3,245"
,Confirmed,"19,102","9,583","8,086","7,720","6,087","11,410","6,680","6,806","4,641","5,778","6,120","4,297","3,245"
,Microscopy examined,"301,031","327,060","332,063","317,360","287,725","224,843","255,302","171,424","122,502","170,887","103,488","107,525","94,352"
,Microscopy positive,"18,560","9,552","7,133","5,826","3,618","5,694","2,860",889,569,"1,370","1,229",641,387
,RDT examined,"13,211","2,540","27,042","35,257","51,582","90,132","66,536","227,335","321,495","172,287","132,072","114,477","195,972"
,RDT positive,542,31,953,"1,894","2,469","5,716","3,820","5,917","4,072","4,408","4,891","3,656","2,858"
,Imported cases,,,,,68,85,55,69,82,95,26,35,34
,Relapse cases,,,,,,0,,0,0,1,3,1,0
Republic of Korea2,Suspected cases,,,,,,,673,515,576,559**,434,294**,444**
,Presumed and confirmed,"1,772",838,555,443,635,692^‡,673^‡,515^,576^,559‡,390,294^,428^
,Confirmed,"1,772",838,555,443,635,692^‡,673^‡,515^,576^,559‡,386,294^,428^
,Microscopy examined,,,,,,,673,515,576,559,386,294,440
,Microscopy positive,"1,772",838,555,443,635,692,673,515,576,559,386,294,421
,RDT examined,,,,,,,,,,94,,94,248
,RDT positive,,,,,,452,454,372,429,94,,94,245
,Imported cases,56,64,47,50,78,79,71,79,75,74,29,20,38
,Relapse cases,,,4,,,11,16,18,28,0,6,,8
Solomon Islands,Suspected cases,"284,931","254,506","249,520","245,014","233,803","192,044","274,881","238,814","244,523","271,754","240,199","253,419","271,037"
,Presumed and confirmed,"95,006","80,859","57,296","53,270","51,649","50,916","84,514","68,712","72,430","86,122","90,830","129,758","141,456"
,Confirmed,"39,704","26,657","24,383","25,609","18,404","23,998","54,432","52,519","59,191","72,767","77,637","84,139","100,995"
,Microscopy examined,"212,329","182,847","202,620","191,137","173,900","124,376","152,690","89,061","89,169","79,694","66,824","114,187","105,260"
,Microscopy positive,"35,373","23,202","21,904","21,540","13,865","14,793","26,187","15,978","17,825","18,239","19,621","45,185","42,041"
,RDT examined,"17,300","17,457","13,987","26,216","26,658","40,750","92,109","133,560","142,115","178,705","160,182","93,613","125,316"
,RDT positive,"4,331","3,455","2,479","4,069","4,539","9,205","28,245","36,541","41,366","54,528","58,016","38,954","58,954"
Vanuatu2,Suspected cases,"55,161","38,150","39,047","32,716","40,333","16,044","24,232","34,152","26,931","23,531","29,362","24,748","15,696"
,Presumed and confirmed,"20,982","7,263","4,812","2,883","1,314",845,"2,531","1,228",644,576,507,322,"1,143"
,Confirmed,"9,817","6,179","4,532","2,883","1,314",571,"2,252","1,228",644,576,507,322,"1,143"
,Microscopy examined,"29,180","19,183","16,981","15,219","18,135","4,870","6,704","9,187","5,935","4,596","2,941","1,564",695
,Microscopy positive,"4,013","2,077",733,767,190,15,225,120,53,26,22,34,0
,RDT examined,"14,816","17,883","21,786","17,497","22,198","10,900","17,249","24,965","20,996","11,318","26,421","23,184","15,001"
,RDT positive,"5,804","4,102","3,799","2,116","1,124",556,"2,027","1,108",591,550,485,288,"1,143"
,Imported cases,,,,,,,0,1,12,9,14,10,41
,Relapse cases,,,,,,,2,0,0,0,0,0,0
Viet Nam2,Suspected cases,"2,803,918","3,312,266","3,436,534","3,115,804","2,786,135","2,673,662","2,497,326","2,616,257",1’674’897**,1’969’919**,1’795’335**,"1,316,542","1,416,684"
,Presumed and confirmed,"54,297","45,588","43,717","35,406","27,868","19,252","10,446",8’411^,6’870^,"5,987","1,733",467,455
,Confirmed,"17,515","16,612","19,638","17,128","15,752","9,331","4,161",4’548^,4’813^,"4,765","1,422",467,455
,Microscopy examined,"2,760,119","2,791,917","2,897,730","2,684,996","2,357,536","2,204,409","2,082,986","2,009,233","1,674,897","1,914,379","1,521,490","852,340","1,182,837"
,Microscopy positive,"17,515","16,612","19,638","17,128","15,752","9,331","4,161","4,548","4,813","4,765","1,309",448,439
,RDT examined,"7,017","491,373","514,725","412,530","416,483","459,332","408,055","603,161","492,270","504,431","532,088","218,230","233,847"
,RDT positive,,,,,,,,"1,594","1,848","3,243","1,168",19,16
,Imported cases,,,,,,,,,"1,681","1,565",46,90,43
